name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
The Fairway,137 Higher Hillgate,Stockport,SK1 3HR,GB,53.4011418,-2.1534984,,Free House,,
Star and Garter,61 Higher Hillgate,Stockport,SK1 3HD,GB,53.4031909,-2.1529548,,,,
The Blossoms,2 Buxton Road,Stockport,SK2 6NU,GB,53.3982466,-2.1527643,,Robinsons,,
Bowling Green Chorlton,,Manchester,,GB,53.4372731,-2.2830062,https://www.bowlinggreenchorlton.co.uk/,,,
Beech Inn,72 Beech Road,Manchester,M21 9EG,GB,53.4389416,-2.2819527,https://www.crafted-social.co.uk/beech-inn-chorlton,Stonegate,,
Trevor Arms,Beech Road,Manchester,,GB,53.4386307,-2.2817454,https://www.greeneking-pubs.co.uk/pubs/lancashire/trevor-arms/,,,
Clayton Green,,Manchester,,GB,53.5541324,-2.1327541,,Brewers Fayre,,
Gold Cup,260 Stockport Road,Manchester,M13 0JY,GB,53.4638964,-2.21241,,,,
The Mountain Ash,,Manchester,,GB,53.3764404,-2.2799536,,,,
Chandos Social Club,Chandos Ave,Salford,M5 5LJ,GB,53.4852954,-2.3040657,,,,
Victoria Hotel,119 Ainsworth Road,Radcliffe,M26 4FD,GB,53.5669693,-2.3355181,https://www.craftunionpubs.com/the-victoria-radcliffe,Stonegate,,11:00-23:00
Wilton Arms,Coronation Road,Radcliffe,M26 3LP,GB,53.5682414,-2.346198,https://www.beerintheevening.com/pubs/s/31/31067/Wilton_Arms/Radcliffe,,+44 871 951 1000,12:00-23:00
The Unicorn,351 Bolton Road,Radcliffe,M26 3QQ,GB,53.5624694,-2.3459648,https://www.pubsgalore.co.uk/pubs/25730/,,,
Bridge Tavern,8 Blackburn Street,Radcliffe,M26 1WW,GB,53.5591269,-2.3249137,https://www.bridgetavernradcliffe.co.uk/,,+44 161 425 1252,
Old Tower Inn,6 Sandford Street,Radcliffe,M26 2PT,GB,53.5645973,-2.3103257,,,,
The Boars Head,2 Shrigley Road North,Manchester,SK12 1TE,GB,53.3471419,-2.0857854,https://www.boars-head.co.uk/,,,
The Lock Keeper,4 Mill Bank,Radcliffe,M26 1AJ,GB,53.5578879,-2.3245625,,,+44 161 723 3502,
Union Tavern,105-107 Liverpool Street,Salford,M5 4LG,GB,53.4804315,-2.2725883,,,,
The Old Wellington Inn,4 Cathedral Gates,Manchester,M3 1SW,GB,53.484684,-2.2440387,https://www.nicholsonspubs.co.uk/restaurants/northwest/theoldwellingtonmanchester,,,
The Moorings,,Manchester,,GB,53.4992772,-2.4129621,https://www.greeneking.co.uk/pubs/lancashire/moorings,,,"Mo-Sa 11:00-23:00, Su 12:00-22:30"
